1000 100700
0 1 3763
1 2 4194
1 3 6395
0 4 7315
0 5 6571
5 6 1546
5 7 6846
5 8 1102
2 9 9559
8 10 5860
8 11 1076
11 12 6344
4 13 7221
10 14 7192
7 15 3960
12 16 7182
16 17 5215
14 18 8440
18 19 9877
4 20 2507
11 21 354
20 22 286
16 23 3917
16 24 2822
17 25 7334
22 26 775
24 27 2476
12 28 138
26 29 1479
19 30 7227
22 31 1322
0 32 6542
21 33 9187
18 34 4429
13 35 7419
24 36 294
28 37 4203
33 38 5792
0 39 8005
21 40 3152
38 41 8381
16 42 3550
6 43 6745
42 44 8988
29 45 161
9 46 9960
31 47 2125
14 48 1697
6 49 2632
19 50 3927
15 51 7675
21 52 9910
22 53 5763
9 54 6542
39 55 7108
8 56 7069
42 57 4155
9 58 4580
11 59 2
4 60 8086
33 61 2481
39 62 3188
31 63 5265
12 64 7949
20 65 5684
61 66 7703
16 67 299
55 68 3423
1 69 9967
22 70 9833
1 71 3508
20 72 6306
53 73 3611
36 74 5263
36 75 6605
62 76 5565
51 77 3735
16 78 8169
32 79 1026
41 80 6117
14 81 6280
2 82 3100
8 83 9690
70 84 4039
63 85 1675
36 86 6194
24 87 1311
83 88 1531
33 89 7918
32 90 5828
26 91 9557
0 92 106
83 93 6160
33 94 7421
12 95 3412
24 96 7153
71 97 1224
77 98 8365
86 99 8305
93 100 9279
4 101 998
66 102 6813
85 103 9810
59 104 5653
60 105 4122
104 106 2417
84 107 2979
54 108 5944
91 109 4986
0 110 8017
90 111 788
57 112 391
83 113 8690
27 114 8729
50 115 4550
48 116 4041
55 117 6332
117 118 8962
73 119 7673
18 120 3259
5 121 2754
30 122 8424
22 123 1656
54 124 238
34 125 4689
51 126 5400
106 127 9856
75 128 427
62 129 7184
22 130 9256
107 131 227
128 132 8549
37 133 77
101 134 4444
98 135 2942
9 136 1193
21 137 4376
79 138 5091
86 139 2649
65 140 7841
81 141 430
138 142 2701
119 143 7941
16 144 7634
36 145 5938
97 146 9441
48 147 2565
76 148 6178
47 149 2050
62 150 6034
88 151 3860
151 152 5254
98 153 85
113 154 6364
38 155 3986
145 156 8439
96 157 9699
117 158 562
97 159 8599
68 160 7310
144 161 1757
133 162 4568
30 163 5813
14 164 6168
108 165 5606
44 166 6935
38 167 5515
78 168 8041
119 169 952
10 170 3007
6 171 5416
29 172 1085
136 173 9146
144 174 2474
71 175 5551
153 176 2456
17 177 7308
18 178 8831
25 179 7407
51 180 6219
93 181 1436
61 182 8242
23 183 7304
93 184 2920
181 185 1410
115 186 970
147 187 6230
106 188 1102
89 189 1618
85 190 613
181 191 9926
85 192 5190
141 193 5857
173 194 5204
95 195 3707
117 196 9965
187 197 4079
27 198 9411
28 199 6221
182 200 9132
199 201 1585
157 202 9018
168 203 5168
183 204 4386
109 205 8376
3 206 7193
176 207 5842
58 208 1792
189 209 7449
157 210 7076
19 211 304
63 212 4337
172 213 6111
152 214 6737
213 215 958
132 216 3026
82 217 3581
156 218 622
205 219 7374
78 220 4072
80 221 1523
163 222 6320
197 223 9284
125 224 6381
29 225 1532
180 226 6642
189 227 1893
61 228 1802
100 229 5048
105 230 4839
205 231 1836
153 232 429
145 233 6695
81 234 5095
232 235 3443
195 236 4602
219 237 1617
75 238 1360
