1000 75775
0 1 2114
0 2 1670
1 3 4435
2 4 8421
2 5 8779
2 6 9073
3 7 7486
0 8 1942
5 9 9586
5 10 4768
10 11 7849
5 12 1943
6 13 7035
9 14 9327
10 15 3274
3 16 1435
2 17 103
8 18 324
15 19 33
1 20 4386
19 21 2552
2 22 1799
20 23 6730
5 24 2620
7 25 3291
20 26 4865
14 27 2186
4 28 9303
23 29 4968
4 30 412
26 31 170
13 32 3979
19 33 5379
5 34 6264
14 35 3836
17 36 3522
14 37 577
34 38 1001
20 39 3749
32 40 6165
18 41 8795
11 42 4955
42 43 5349
6 44 2071
13 45 502
7 46 5605
38 47 4607
36 48 3557
37 49 2003
21 50 9770
35 51 4448
46 52 1252
43 53 8079
40 54 8614
46 55 9314
24 56 9035
6 57 3129
7 58 3485
55 59 935
3 60 600
52 61 236
21 62 1131
51 63 5031
20 64 3948
12 65 3423
57 66 5712
10 67 6274
18 68 6990
36 69 186
40 70 2416
33 71 7320
24 72 7777
12 73 9133
58 74 3246
2 75 7241
0 76 6607
66 77 1234
1 78 9794
57 79 5041
17 80 4487
56 81 2820
56 82 486
56 83 5299
50 84 3043
80 85 4001
80 86 867
50 87 5258
6 88 5048
67 89 7694
74 90 5049
8 91 5884
67 92 2251
37 93 1871
9 94 4430
66 95 3577
50 96 8134
82 97 999
49 98 6188
6 99 4290
96 100 7606
6 101 1968
85 102 8929
16 103 7866
75 104 3480
102 105 5030
11 106 6139
63 107 7323
86 108 809
39 109 1465
25 110 9843
28 111 5766
14 112 4893
48 113 6810
46 114 7007
54 115 2402
9 116 6874
56 117 1528
32 118 9861
40 119 8933
110 120 2410
60 121 6
10 122 8320
53 123 8304
123 124 3956
91 125 3704
14 126 8207
29 127 9442
38 128 5590
61 129 5116
112 130 2847
15 131 4204
112 132 1238
41 133 6058
122 134 7993
51 135 6273
36 136 2447
73 137 6499
95 138 821
118 139 6219
55 140 644
84 141 8856
125 142 2958
27 143 2322
53 144 991
73 145 7295
131 146 5172
110 147 3116
64 148 596
96 149 2110
72 150 7471
127 151 4857
105 152 2900
86 153 5790
37 154 2880
138 155 5371
129 156 2584
61 157 9775
146 158 6152
118 159 4849
7 160 1283
41 161 9284
27 162 86
69 163 4263
60 164 3761
158 165 7925
64 166 1986
66 167 3115
12 168 7056
88 169 4009
159 170 1056
148 171 165
164 172 1332
144 173 6686
110 174 4302
41 175 3697
145 176 899
101 177 2161
42 178 3630
8 179 1741
16 180 6966
178 181 8251
174 182 471
151 183 7402
158 184 305
139 185 9602
83 186 6270
63 187 199
129 188 1970
20 189 5771
109 190 7698
74 191 946
20 192 3698
165 193 266
154 194 4313
40 195 5298
113 196 6479
112 197 436
186 198 3782
129 199 9620
193 200 6123
71 201 5856
201 202 5570
36 203 2283
71 204 8394
160 205 6534
128 206 8194
68 207 3912
72 208 3496
137 209 1860
19 210 7861
169 211 1428
79 212 314
1 213 6819
140 214 7355
200 215 3016
138 216 4903
73 217 3449
129 218 3625
33 219 4364
10 220 5205
200 221 2961
120 222 477
118 223 652
201 224 4948
186 225 7323
52 226 9205
218 227 3880
166 228 4044
69 229 8410
79 230 4832
172 231 1135
145 232 635
40 233 8041
182 234 8943
119 235 6365
201 236 1193
210 237 3465
115 238 1814
39 239 6119
232 240 9781
185 241 9899
196 242 6684
171 243 8580
44 244 5718
242 245 4853
55 246 7671
197 247 4940
67 248 446
37 249 7914
111 250 9818
36 251 2940
51 252 9433
136 253 4627
242 254 5267
100 255 3998
51 256 3381
80 257 3964
76 258 3478
246 259 7971
36 260 4876
219 261 5686
189 262 5734
184 263 3098
257 264 1980
28 265 6638
66 266 4999
208 267 3146
15 268 8978
234 269 3717
186 270 1399
0 271 9189
101 272 6728
182 273 5850
220 274 1272
71 275 9759
3 276 669
26 277 7880
109 278 3841
120 279 423
148 280 3641
276 281 5781
16 282 4094
193 283 2023
92 284 3149
34 285 5009
4 286 3442
4 287 5968
217 288 8686
281 289 2193
180 290 1143
256 291 5081
86 292 4080
187 293 4678
16 294 9314
120 295 9498
247 296 2679
224 297 2667
290 298 2690
122 299 9091
10 300 9435
142 301 4887
30 302 951
208 303 6803
173 304 3644
289 305 836
32 306 6669
184 307 1085
59 308 9245
210 309 717
180 310 5489
245 311 439
156 312 6134
57 313 8154
138 314 7211
29 315 8763
238 316 5989
12 317 732
221 318 6929
126 319 6841
30 320 9504
50 321 9256
116 322 4276
272 323 2920
72 324 8873
121 325 8438
301 326 6203
117 327 3847
267 328 9624
308 329 9471
292 330 4490
257 331 7668
259 332 9726
172 333 8612
262 334 3432
324 335 9049
296 336 1029
113 337 5539
82 338 5800
197 339 147
117 340 8777
312 341 791
269 342 6267
222 343 1903
207 344 8993
187 345 3082
159 346 1078
92 347 3892
194 348 1027
38 349 4744
239 350 652
319 351 5032
219 352 3531
124 353 6892
65 354 8280
186 355 2555
31 356 6495
231 357 5218
187 358 2907
230 359 2645
163 360 9804
249 361 2588
118 362 7277
6 363 3131
320 364 38
57 365 5761
33 366 4469
10 367 6507
46 368 1928
90 369 692
119 370 5984
32 371 402
58 372 9022
221 373 3941
265 374 3183
266 375 2391
317 376 9687
152 377 6681
4 378 895
216 379 6755
121 380 9572
368 381 2754
214 382 7489
378 383 2437
362 384 129
330 385 3078
181 386 9647
253 387 4060
30 388 4637
381 389 5525
354 390 2390
61 391 1346
240 392 8539
202 393 2121
131 394 5730
4 395 6795
171 396 9622
164 397 4116
376 398 8552
107 399 6845
36 400 5794
235 401 79
149 402 7952
246 403 8083
136 404 3833
98 405 2736
55 406 8425
385 407 7354
141 408 1572
15 409 6761
164 410 9788
397 411 2835
81 412 8460
296 413 2164
103 414 5720
9 415 2272
184 416 5429
298 417 6280
333 418 6224
290 419 4677
210 420 4355
416 421 1688
211 422 7145
41 423 2827
49 424 216
364 425 7613
70 426 8212
278 427 5822
97 428 5347
413 429 8559
190 430 7739
155 431 3912
96 432 4843
361 433 6033
411 434 7358
34 435 1600
382 436 5327
196 437 7279
245 438 3688
92 439 9834
51 440 5872
117 441 8944
17 442 5953
184 443 3790
98 444 9848
377 445 3508
316 446 8980
238 447 9412
57 448 9945
401 449 2198
299 450 9973
359 451 9462
66 452 5493
398 453 9914
380 454 4776
312 455 8352
300 456 1518
397 457 5422
44 458 5158
167 459 4495
80 460 2737
64 461 3759
295 462 2854
247 463 9326
277 464 2910
146 465 7434
456 466 8790
426 467 3448
245 468 554
215 469 8522
30 470 6999
41 471 2684
30 472 6162
150 473 5289
154 474 2289
234 475 9973
401 476 3514
176 477 4384
413 478 8707
286 479 3241
332 480 8676
350 481 3016
219 482 2239
481 483 4448
438 484 4604
71 485 4853
281 486 6067
75 487 1041
454 488 7155
196 489 8589
219 490 9968
421 491 7999
475 492 9519
114 493 9353
311 494 7189
61 495 6566
57 496 6810
390 497 207
429 498 2290
185 499 4608
264 500 672
5 501 4075
225 502 2046
1 503 3284
135 504 5347
490 505 5416
412 506 8543
146 507 5470
371 508 1647
114 509 5892
412 510 9098
258 511 2985
439 512 3715
304 513 9150
339 514 1513
341 515 2291
324 516 5365
279 517 6652
393 518 5564
498 519 1836
13 520 8101
124 521 9218
450 522 2392
70 523 8699
6 524 1668
524 525 7637
452 526 2706
188 527 7569
511 528 192
119 529 320
426 530 2363
59 531 1452
328 532 2610
