Instances, FordFulkerson, EdmondsKarp, PushRelabel, FIFOPushRelabel, HighestLabelPushRelabel
5, 116.59, 49.11999999999999, 542.3, 398.04999999999995, 513.25
10, 178.10000000000002, 57.209999999999994, 726.0899999999999, 593.6099999999999, 1008.6299999999999
15, 281.29, 100.37, 1035.84, 897.3, 1528.52
20, 363.25, 116.9, 1263.06, 1149.15, 1774.0299999999995
25, 455.68999999999994, 155.48, 1517.19, 1414.7, 2152.76
30, 475.19000000000005, 164.85999999999999, 1182.4500000000003, 1061.52, 1733.8300000000004
35, 683.78, 178.97999999999996, 1755.9100000000003, 1611.1200000000001, 2424.44
40, 862.99, 195.04000000000002, 2152.8599999999997, 2046.5199999999998, 3100.7799999999997
45, 1148.58, 202.47, 2351.1099999999997, 2297.6899999999996, 3367.9300000000003
50, 800.9199999999998, 246.66, 1980.1100000000001, 2021.8399999999997, 3085.7
55, 1040.45, 278.74, 1832.48, 1957.23, 3243.1099999999997
60, 1055.59, 311.40999999999997, 1602.8199999999997, 1736.64, 2975.62
65, 1292.73, 358.84000000000003, 2101.33, 2300.3, 3740.7200000000003
70, 1533.2, 414.05, 2951.1600000000003, 3188.1600000000008, 5083.339999999999
75, 1621.46, 488.96999999999997, 3215.4300000000003, 3499.71, 5263.5599999999995
80, 1662.1199999999997, 580.58, 2914.46, 3232.6800000000003, 4756.65
85, 1226.2599999999998, 666.3, 3028.8700000000003, 3380.38, 5008.780000000001
90, 1461.17, 749.5200000000001, 3610.59, 3889.03, 5623.160000000001
95, 1113.95, 804.52, 2221.5199999999995, 2436.63, 3707.55
100, 1376.2199999999998, 890.7400000000001, 2831.7999999999997, 3125.8900000000003, 4207.67
