Instances, FordFulkerson, EdmondsKarp, PushRelabel, FIFOPushRelabel, HighestLabelPushRelabel
5, 126.6, 51.7, 821.8, 564.0, 576.7
10, 235.9, 78.1, 1033.0, 861.0, 1101.5
15, 334.3, 126.5, 1204.7, 1034.5, 1179.7
20, 171.8, 115.8, 43.4, 32.8, 48.3
25, 207.9, 140.5, 40.7, 25.1, 32.7
30, 232.9, 161.1, 51.5, 37.4, 39.1
35, 979.8, 184.6, 2325.3, 2037.5, 2259.5
40, 1137.6, 207.7, 2565.9, 2365.7, 2703.2
45, 1350.0, 217.3, 2912.7, 2770.4, 3341.3
50, 1299.9, 273.4, 2961.6, 2792.6, 3165.9
55, 670.4, 278.1, 62.5, 47.0, 56.1
60, 762.4, 317.2, 78.3, 51.5, 62.7
65, 1851.7, 417.2, 3826.6, 3953.4, 4436.2
70, 1967.4, 456.3, 4094.0, 4362.7, 5092.5
75, 2054.9, 531.2, 4389.2, 4830.2, 5656.5
80, 2132.9, 626.6, 4608.8, 4595.6, 5273.9
85, 1711.2, 702.0, 4858.5, 4948.1, 5496.3
90, 1802.3, 800.0, 5008.2, 5103.0, 5962.7
95, 531.3, 850.2, 157.8, 139.2, 189.1
100, 806.4, 955.0, 193.9, 168.9, 182.9
