Instances, inst1, inst2, inst3, inst4, inst5, inst6, inst7, inst8, inst9, inst10
5, 148.4, 126.6, 129.7, 123.5, 101.4, 142.4, 82.9, 126.6, 62.4, 122.0
10, 84.2, 254.7, 203.1, 210.9, 187.4, 226.7, 67.2, 235.9, 114.0, 196.9
15, 179.9, 328.3, 314.0, 298.4, 309.4, 328.4, 137.4, 334.3, 306.2, 276.6
20, 370.3, 389.0, 401.3, 432.8, 432.9, 403.3, 196.8, 171.8, 411.1, 423.2
25, 510.9, 628.2, 462.4, 528.2, 476.7, 554.6, 223.7, 207.9, 518.8, 445.5
30, 287.6, 229.8, 593.7, 712.5, 265.5, 650.0, 300.2, 232.9, 811.0, 668.7
35, 248.3, 895.3, 628.2, 867.3, 303.3, 745.1, 218.8, 979.8, 1032.9, 918.8
40, 822.0, 870.5, 1037.5, 1156.1, 281.2, 957.9, 240.5, 1137.6, 998.5, 1128.1
45, 1283.1, 1412.5, 1239.1, 1367.3, 520.4, 1276.9, 520.5, 1350.0, 1181.5, 1334.5
50, 493.9, 990.6, 1021.2, 1129.9, 279.7, 345.5, 276.5, 1299.9, 1034.4, 1137.6
55, 775.0, 1545.3, 1576.5, 1546.9, 271.9, 282.6, 679.7, 670.4, 1512.4, 1543.8
60, 670.5, 1671.8, 740.7, 1546.1, 635.9, 657.7, 743.9, 762.4, 1559.8, 1567.1
65, 681.3, 1814.0, 829.6, 1954.5, 657.6, 774.9, 707.8, 1851.7, 1927.5, 1728.4
70, 720.4, 1853.0, 1717.3, 1808.7, 698.4, 1836.0, 731.4, 1967.4, 2027.2, 1972.2
75, 804.7, 1879.8, 1944.7, 2161.1, 748.6, 1836.1, 740.7, 2054.9, 2192.4, 1851.6
80, 974.7, 2012.7, 2128.2, 2167.7, 870.3, 1145.5, 843.9, 2132.9, 2376.2, 1969.1
85, 481.4, 1657.8, 1695.6, 1639.3, 337.3, 579.7, 367.4, 1711.2, 2047.4, 1745.5
90, 446.8, 1778.2, 1759.5, 2197.0, 370.4, 1686.1, 393.7, 1802.3, 2069.5, 2108.2
95, 437.5, 1733.1, 726.6, 2047.7, 370.2, 701.4, 376.7, 531.3, 2253.5, 1961.5
100, 531.3, 2048.6, 2407.3, 2410.8, 379.9, 540.5, 378.4, 806.4, 2174.4, 2084.6
