Instances, inst1, inst2, inst3, inst4, inst5, inst6, inst7, inst8, inst9, inst10
5, 558.2, 592.5, 604.6, 979.9, 17.3, 593.9, 15.8, 576.7, 20.1, 1173.5
10, 17.3, 1097.1, 1020.2, 1642.3, 870.4, 1089.1, 15.3, 1101.5, 18.9, 3214.2
15, 26.5, 1373.8, 1287.7, 2079.6, 1107.9, 1608.5, 23.6, 1179.7, 1756.9, 4841.0
20, 1585.9, 1920.6, 1622.0, 2511.4, 1565.8, 1720.3, 46.9, 48.3, 2420.4, 4298.7
25, 2000.2, 1938.2, 2149.6, 2837.7, 1827.8, 1981.2, 37.5, 32.7, 3000.2, 5722.5
30, 36.0, 42.3, 2885.1, 2797.2, 51.5, 2185.2, 40.7, 39.1, 3609.6, 5651.6
35, 45.3, 2521.1, 3352.1, 3226.7, 67.1, 2300.7, 48.5, 2259.5, 3852.3, 6571.1
40, 2648.6, 2792.4, 3644.1, 3544.0, 85.8, 2694.2, 50.0, 2703.2, 3948.8, 8896.7
45, 2998.8, 3701.7, 3619.0, 4176.8, 53.0, 2858.9, 37.4, 3341.3, 4190.5, 8701.9
50, 48.5, 4167.4, 3912.4, 4508.5, 60.9, 47.0, 48.6, 3165.9, 4868.9, 10028.9
55, 53.2, 4910.0, 4151.9, 5425.4, 76.7, 53.3, 54.8, 56.1, 5206.5, 12443.2
60, 57.8, 5052.0, 59.4, 5663.8, 106.2, 62.4, 61.1, 62.7, 5556.6, 13074.2
65, 74.9, 5659.8, 75.0, 5819.6, 92.2, 75.2, 104.5, 4436.2, 6345.9, 14723.9
70, 65.7, 6245.9, 3968.9, 5629.9, 79.7, 4033.0, 71.9, 5092.5, 6547.6, 19098.3
75, 65.5, 6375.2, 5009.6, 6110.4, 95.1, 4450.3, 89.1, 5656.5, 6713.4, 18070.5
80, 134.5, 6614.8, 5968.9, 6459.9, 106.3, 81.1, 117.3, 5273.9, 6993.9, 15815.9
85, 104.7, 6319.5, 5874.1, 5548.7, 153.2, 98.7, 126.7, 5496.3, 6906.6, 19459.3
90, 186.1, 5817.5, 5287.5, 5793.8, 143.6, 5095.3, 198.3, 5962.7, 7098.5, 20648.3
95, 232.8, 4612.7, 107.7, 6258.2, 150.1, 117.3, 190.7, 189.1, 7059.8, 18157.1
100, 193.6, 5828.4, 6744.1, 7111.1, 178.1, 133.0, 176.7, 182.9, 7392.6, 14136.2
