Instances, inst1, inst2, inst3, inst4, inst5, inst6, inst7, inst8, inst9, inst10
5, 639.0, 825.3, 706.2, 725.1, 26.6, 797.4, 24.9, 821.8, 25.0, 831.7
10, 17.3, 1038.3, 1020.4, 1068.8, 962.0, 1028.8, 23.5, 1033.0, 24.9, 1043.9
15, 31.2, 1302.5, 1262.7, 1375.4, 1180.2, 1349.0, 32.9, 1204.7, 1265.9, 1353.9
20, 1506.3, 1628.2, 1531.4, 1672.2, 1491.5, 1546.9, 34.4, 43.4, 1601.0, 1575.3
25, 1814.2, 1778.9, 1884.7, 1967.3, 1753.2, 2002.1, 42.3, 40.7, 1985.0, 1903.5
30, 46.6, 48.4, 2375.9, 2236.2, 65.4, 2223.6, 56.1, 51.5, 2459.7, 2261.1
35, 54.6, 2405.1, 2639.9, 2512.6, 67.1, 2348.4, 42.2, 2325.3, 2693.6, 2470.3
40, 2545.4, 2591.4, 2814.9, 2726.6, 86.0, 2545.7, 43.9, 2565.9, 2857.2, 2751.6
45, 2762.7, 2967.3, 2955.0, 3043.9, 56.3, 2712.5, 54.7, 2912.7, 3058.3, 2987.7
50, 59.6, 3256.4, 3217.3, 3364.3, 69.0, 57.9, 54.6, 2961.6, 3492.9, 3267.5
55, 64.1, 3585.1, 3362.7, 3780.2, 79.5, 60.8, 62.6, 62.5, 3715.3, 3552.0
60, 68.4, 3806.5, 71.7, 4002.4, 107.9, 65.4, 61.0, 78.3, 3938.4, 3828.2
65, 84.2, 4058.7, 84.6, 4250.3, 106.4, 79.8, 74.9, 3826.6, 4325.8, 4122.0
70, 67.2, 4300.3, 3718.9, 4323.8, 89.3, 3745.5, 87.4, 4094.0, 4556.7, 4528.5
75, 73.6, 4563.0, 4437.1, 4695.4, 98.6, 4347.8, 95.4, 4389.2, 4794.6, 4659.6
80, 118.8, 4799.5, 4667.4, 4857.0, 137.4, 87.6, 98.3, 4608.8, 4943.1, 4826.7
85, 134.4, 4891.2, 4792.4, 4964.2, 128.2, 90.6, 100.2, 4858.5, 5239.7, 5089.3
90, 142.2, 5046.1, 4899.7, 5093.0, 139.1, 4917.5, 101.6, 5008.2, 5406.7, 5351.8
95, 159.5, 4981.4, 134.4, 5402.1, 142.1, 104.6, 93.9, 157.8, 5580.0, 5459.4
100, 163.9, 5242.9, 5404.9, 5657.0, 190.3, 131.3, 98.5, 193.9, 5639.5, 5595.8
