Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 76.5, 87.3, 39.2, 82.8, 43.7
10, 89.1, 134.5, 54.8, 109.5, 87.6
15, 143.8, 210.9, 89.1, 196.8, 101.4
20, 150.2, 223.1, 109.3, 201.7, 162.5
25, 220.2, 347.1, 164.1, 331.3, 195.6
30, 254.7, 392.2, 162.6, 411.0, 203.2
35, 324.2, 503.1, 179.7, 500.0, 181.2
40, 339.9, 531.3, 193.7, 598.5, 213.9
45, 361.1, 657.7, 227.9, 699.8, 520.3
50, 440.6, 848.5, 265.6, 878.6, 243.8
55, 537.4, 992.2, 296.4, 1179.9, 600.3
60, 642.3, 1196.8, 348.4, 1329.7, 715.6
65, 695.0, 1412.9, 384.3, 1670.1, 778.2
70, 779.7, 1600.2, 437.5, 1990.7, 868.8
75, 920.2, 1871.3, 501.8, 2577.2, 939.2
80, 1107.8, 2403.3, 596.8, 3057.5, 1053.3
85, 1357.9, 2900.2, 690.7, 3535.6, 667.8
90, 1480.0, 3191.9, 775.1, 4061.0, 742.7
95, 1607.0, 3520.5, 819.1, 4549.1, 828.2
100, 1772.5, 3988.3, 929.3, 5254.1, 1023.5
