Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 107.63, 108.23000000000002, 49.11999999999999, 126.45, 61.28000000000001
10, 90.72, 151.1, 57.209999999999994, 121.08000000000001, 84.25
15, 160.17, 218.17000000000002, 100.37, 221.69, 127.62
20, 178.18, 290.46000000000004, 116.9, 235.78000000000003, 167.47
25, 218.76, 372.88, 155.48, 333.57000000000005, 174.05
30, 256.22, 395.92999999999995, 164.85999999999999, 377.37, 186.08999999999997
35, 316.6, 472.55, 178.97999999999996, 478.00999999999993, 180.16000000000003
40, 347.81000000000006, 525.6800000000001, 195.04000000000002, 546.56, 211.85
45, 354.98999999999995, 669.83, 202.47, 622.44, 499.0799999999999
50, 397.98999999999995, 802.25, 246.66, 834.05, 232.23000000000002
55, 505.57, 956.85, 278.74, 1070.3999999999999, 586.2299999999999
60, 589.26, 1121.6699999999998, 311.40999999999997, 1287.24, 660.37
65, 667.28, 1335.8400000000001, 358.84000000000003, 1571.4699999999998, 738.28
70, 729.4399999999999, 1593.65, 414.05, 1988.94, 835.65
75, 895.7900000000002, 1898.85, 488.96999999999997, 2575.23, 915.07
80, 1105.4, 2400.6699999999996, 580.58, 3087.32, 1006.8300000000002
85, 1293.95, 2924.07, 666.3, 3573.649999999999, 600.7900000000001
90, 1436.56, 3252.78, 749.5200000000001, 4103.76, 708.91
95, 1546.72, 3536.29, 804.52, 4561.58, 807.1500000000001
100, 1708.5300000000002, 3988.04, 890.7400000000001, 5223.379999999999, 939.7700000000001
