Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 1003.9, 2382.5, 568.9, 2686.1, 864.1
10, 1962.5, 3830.1, 864.6, 5109.0, 1284.3
15, 2981.8, 5075.9, 1214.9, 7708.2, 1681.3
20, 3862.1, 6844.6, 1529.7, 9531.9, 2064.0
25, 4375.2, 7744.0, 1859.6, 11175.7, 2314.3
30, 4103.1, 8049.0, 1993.9, 11008.5, 2373.6
35, 5272.2, 9747.8, 2306.3, 13987.0, 2734.7
40, 5834.2, 11272.1, 2620.6, 15796.2, 3003.4
45, 6796.4, 12650.7, 3064.4, 18671.5, 3512.8
50, 8360.2, 14582.2, 3584.8, 22845.0, 3592.4
55, 10007.5, 16100.7, 4111.2, 26718.7, 4243.9
60, 10705.9, 17241.4, 4434.7, 29139.6, 4503.3
65, 11047.6, 17493.2, 4717.8, 31246.0, 4676.8
70, 10336.7, 18175.8, 4777.3, 30670.4, 4692.3
75, 11721.5, 20783.8, 5281.4, 34666.0, 4995.5
80, 12630.9, 21676.5, 5634.7, 37380.2, 5298.9
85, 11482.8, 20865.2, 5581.3, 35508.6, 4759.1
90, 11577.7, 21023.5, 5658.5, 35902.7, 5048.9
95, 12748.3, 22064.1, 6064.9, 39416.4, 5377.8
100, 13404.4, 24252.9, 6431.8, 41496.1, 6385.3
