Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 689.98, 1600.5000000000002, 398.04999999999995, 1771.72, 610.9399999999999
10, 1234.1699999999998, 2508.0199999999995, 593.6099999999999, 3172.05, 873.1900000000002
15, 1927.9, 3696.1799999999994, 897.3, 5160.609999999999, 1232.1299999999999
20, 2467.54, 4961.46, 1149.15, 6480.4800000000005, 1538.3700000000001
25, 2967.48, 5684.13, 1414.7, 7750.5599999999995, 1757.8700000000001
30, 2475.0999999999995, 4303.950000000001, 1061.52, 6064.0599999999995, 1262.13
35, 3497.3900000000003, 6544.45, 1611.1200000000001, 9061.02, 1896.2399999999998
40, 4282.110000000001, 8582.060000000001, 2046.5199999999998, 11636.85, 2359.2199999999993
45, 4613.96, 9312.939999999999, 2297.6899999999996, 12972.829999999998, 2689.05
50, 4320.89, 8077.1900000000005, 2021.8399999999997, 11950.01, 2073.37
55, 4375.75, 7770.729999999999, 1957.23, 12146.77, 2043.2900000000002
60, 3920.85, 6583.090000000001, 1736.64, 11010.74, 1773.2599999999998
65, 5126.780000000001, 8494.6, 2300.3, 14523.990000000002, 2307.21
70, 6608.469999999999, 11958.59, 3188.1600000000008, 19468.390000000003, 3200.69
75, 7297.660000000001, 13831.6, 3499.71, 21748.170000000002, 3392.65
80, 6777.31, 12323.179999999998, 3232.6800000000003, 20341.3, 3273.0399999999995
85, 7010.43, 12642.570000000002, 3380.38, 21209.519999999997, 2921.06
90, 7637.469999999999, 14253.789999999999, 3889.03, 23590.76, 3484.0800000000004
95, 4838.780000000001, 8470.039999999999, 2436.63, 14556.3, 2173.83
100, 6143.02, 11826.030000000002, 3125.8900000000003, 18961.42, 3157.43
