Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 73.5, 121.8, 73.4, 129.8, 82.9
10, 87.4, 137.4, 60.8, 171.9, 67.2
15, 160.6, 228.2, 144.0, 393.7, 137.4
20, 244.1, 354.7, 187.6, 587.8, 196.8
25, 326.5, 604.9, 217.3, 865.8, 223.7
30, 509.4, 686.2, 338.9, 1143.8, 300.2
35, 678.2, 506.1, 296.9, 922.0, 218.8
40, 817.3, 748.5, 329.8, 1090.7, 240.5
45, 712.7, 764.2, 317.2, 1047.2, 520.5
50, 764.1, 1006.3, 370.5, 1429.8, 276.5
55, 1101.3, 1319.0, 485.9, 1728.2, 679.7
60, 1606.3, 1148.3, 665.7, 2425.1, 743.9
65, 1462.5, 771.7, 578.1, 2348.7, 707.8
70, 1189.2, 657.9, 542.3, 2248.4, 731.4
75, 1184.6, 687.6, 568.5, 2493.8, 740.7
80, 1696.8, 1365.7, 696.9, 2904.8, 843.9
85, 2451.7, 1678.4, 748.4, 3056.3, 367.4
90, 3129.9, 1826.7, 901.6, 3539.4, 393.7
95, 3465.5, 2014.3, 895.4, 3851.6, 376.7
100, 4556.7, 1610.9, 979.9, 3664.2, 378.4
