Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 154.29, 149.64000000000001, 98.61999999999999, 169.7, 116.59
10, 205.43, 216.42, 127.63999999999999, 257.53, 178.10000000000002
15, 411.83000000000004, 346.74999999999994, 229.85999999999999, 421.2799999999999, 281.29
20, 605.97, 467.8, 324.06000000000006, 598.6, 363.25
25, 832.18, 607.56, 461.57000000000005, 899.26, 455.68999999999994
30, 1038.28, 686.6899999999999, 506.83000000000004, 1014.1200000000001, 475.19000000000005
35, 1805.2400000000002, 876.01, 735.06, 1283.98, 683.78
40, 2323.48, 1152.1299999999999, 932.7300000000001, 1572.68, 862.99
45, 2575.55, 1447.75, 1091.4699999999998, 1828.6100000000001, 1148.58
50, 2651.05, 1493.37, 1169.53, 2087.39, 800.9199999999998
55, 3023.3399999999997, 1501.37, 1285.85, 2290.39, 1040.45
60, 3233.3, 1349.9299999999998, 1263.65, 2577.9800000000005, 1055.59
65, 4257.719999999999, 1340.37, 1764.5899999999997, 3045.77, 1292.73
70, 5599.8099999999995, 1483.61, 2402.84, 3586.05, 1533.2
75, 6565.5, 1566.6, 2850.6700000000005, 4188.199999999999, 1621.46
80, 7893.5199999999995, 2070.7799999999997, 2991.96, 4625.59, 1662.1199999999997
85, 10184.01, 2375.4900000000002, 3312.75, 4861.990000000001, 1226.2599999999998
90, 12261.63, 2427.7200000000003, 4114.01, 5361.05, 1461.17
95, 10423.51, 2412.8099999999995, 3198.16, 5477.92, 1113.95
100, 13248.6, 2599.71, 4066.7, 5970.23, 1376.2199999999998
