Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 26.6, 29.9, 18.8, 32.8, 20.1
10, 35.9, 39.1, 16.9, 42.1, 18.9
15, 3416.4, 4625.6, 1317.3, 6436.2, 1756.9
20, 5172.5, 6378.5, 1843.7, 8726.9, 2420.4
25, 7524.3, 8013.0, 2442.4, 11496.4, 3000.2
30, 10538.8, 9737.4, 3073.4, 14582.0, 3609.6
35, 11724.3, 11224.6, 3384.2, 16681.1, 3852.3
40, 11840.4, 12541.5, 3689.3, 18643.4, 3948.8
45, 10514.2, 13444.5, 3925.1, 19951.4, 4190.5
50, 15853.3, 15883.6, 5070.3, 24570.0, 4868.9
55, 16261.9, 17125.9, 5355.0, 27579.9, 5206.5
60, 16574.9, 17985.6, 5741.1, 30595.3, 5556.6
65, 21346.2, 21129.1, 6770.8, 35714.1, 6345.9
70, 21198.6, 25173.2, 7198.7, 38509.8, 6547.6
75, 21773.5, 25138.6, 7708.1, 41433.1, 6713.4
80, 22571.8, 24619.9, 8119.2, 44666.5, 6993.9
85, 24249.3, 26196.9, 8609.8, 48870.0, 6906.6
90, 24659.8, 27448.7, 9072.3, 51372.3, 7098.5
95, 22471.5, 27849.1, 8427.1, 51998.3, 7059.8
100, 19616.5, 28640.7, 8184.8, 49995.0, 7392.6
