Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 774.9200000000001, 1474.2899999999997, 477.7800000000001, 1351.8, 651.6400000000001
10, 1939.7499999999995, 2531.3299999999995, 958.4199999999998, 3141.8199999999997, 1237.8
15, 3050.0300000000007, 3719.6, 1438.19, 4919.749999999999, 1728.15
20, 3715.6800000000003, 4691.94, 1662.56, 6149.0599999999995, 2014.2600000000002
25, 4335.139999999999, 5660.539999999999, 2045.7, 7410.259999999999, 2356.6099999999997
30, 3664.53, 4145.07, 1636.91, 5631.049999999999, 1832.48
35, 5146.549999999999, 6427.02, 2341.8599999999997, 8659.09, 2571.71
40, 6274.740000000001, 8582.789999999999, 3046.68, 11265.369999999999, 3246.5000000000005
45, 6560.629999999999, 9389.39, 3313.88, 12806.579999999998, 3550.35
50, 6488.9400000000005, 8125.529999999999, 3124.25, 11537.960000000001, 3078.4200000000005
55, 6858.539999999999, 7900.2699999999995, 3269.21, 11594.56, 3246.7599999999998
60, 6227.360000000001, 6819.840000000001, 3020.9900000000007, 10422.77, 2976.96
65, 8038.5199999999995, 9303.15, 3824.87, 14121.5, 3707.2700000000004
70, 9603.03, 13201.419999999998, 5193.460000000001, 19172.54, 5053.37
75, 10564.32, 14846.37, 5429.839999999999, 21654.71, 5169.1900000000005
80, 9678.189999999999, 12773.559999999998, 4962.45, 20096.81, 4824.08
85, 9616.59, 13296.13, 5287.2300000000005, 20753.809999999998, 4758.210000000001
90, 9951.850000000002, 15043.969999999998, 5937.45, 22715.579999999998, 5396.45
95, 6514.7699999999995, 8831.16, 3970.54, 13378.51, 3694.4199999999996
100, 7697.67, 11968.699999999999, 4364.88, 18278.600000000002, 4188.3200000000015
