Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 1184.9, 2298.7, 825.3, 2347.0, 1107.7
10, 1640.8, 3145.5, 1038.3, 3192.7, 1432.7
15, 2181.4, 3992.2, 1302.5, 4472.1, 1725.0
20, 3056.3, 5150.1, 1628.2, 5157.9, 2167.2
25, 3200.7, 5484.8, 1778.9, 5826.9, 2243.0
30, 62.6, 77.9, 48.4, 62.4, 50.2
35, 4035.5, 7501.8, 2405.1, 7387.6, 2900.6
40, 4233.5, 8111.3, 2591.4, 8056.6, 3075.4
45, 5255.7, 8954.2, 2967.3, 9726.9, 3655.5
50, 5831.5, 10056.7, 3256.4, 10556.9, 3664.0
55, 6747.1, 11069.5, 3585.1, 12450.7, 4260.2
60, 7502.0, 11716.2, 3806.5, 12524.1, 4504.8
65, 8221.1, 11996.0, 4058.7, 14688.1, 4612.8
70, 8273.0, 12381.8, 4300.3, 16268.1, 4774.1
75, 6949.5, 14085.0, 4563.0, 16424.3, 4958.8
80, 7412.3, 14371.2, 4799.5, 17474.3, 5155.5
85, 7713.2, 14637.1, 4891.2, 18233.7, 4868.7
90, 7427.2, 15115.9, 5046.1, 18569.7, 5022.8
95, 6453.8, 14320.5, 4981.4, 17375.9, 5162.6
100, 7489.9, 16554.3, 5242.9, 20519.8, 6238.8
