Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 774.89, 1513.5400000000002, 542.15, 1496.5899999999997, 734.3499999999999
10, 1150.6100000000001, 2168.0899999999997, 725.95, 2222.37, 995.1
15, 1749.9100000000003, 3142.7, 1035.3600000000001, 3454.8599999999997, 1378.73
20, 2238.6099999999997, 3875.3900000000003, 1264.32, 3902.4500000000007, 1671.0
25, 2699.4100000000008, 4522.88, 1517.4900000000002, 4616.89, 1895.6199999999997
30, 2053.01, 3322.4900000000002, 1182.0000000000002, 3454.2200000000003, 1426.5000000000005
35, 3000.98, 5253.89, 1757.02, 5430.51, 2107.08
40, 3744.6699999999996, 6584.659999999999, 2153.9399999999996, 6767.58, 2580.04
45, 4026.2799999999997, 7036.62, 2350.7799999999997, 7360.88, 2880.89
50, 3491.0099999999998, 6061.58, 1979.8100000000002, 6498.130000000001, 2224.65
55, 3472.4900000000002, 5500.910000000001, 1832.2999999999997, 6139.9800000000005, 2175.0699999999997
60, 3112.21, 4788.92, 1603.2899999999997, 5336.76, 1872.9899999999998
65, 4086.28, 6069.590000000001, 2104.64, 7275.790000000001, 2391.16
70, 4935.28, 8801.05, 2951.1600000000003, 10839.380000000001, 3312.4900000000002
75, 4876.35, 9967.939999999999, 3215.7300000000005, 11688.680000000002, 3515.54
80, 4529.5, 8750.17, 2917.5900000000006, 10551.859999999999, 3315.15
85, 4787.590000000001, 8980.939999999999, 3033.86, 11152.8, 3012.2200000000003
90, 5524.05, 10777.28, 3616.35, 13459.7, 3710.97
95, 3450.35, 6399.08, 2226.97, 8022.389999999999, 2276.97
100, 4407.47, 8550.220000000001, 2839.9099999999994, 10517.1, 3383.12
