Instances, FordFulkerson, EdmondsKarp, PushRelabel, FIFOPushRelabel, HighestLabelPushRelabel
5, 134.9, 50.1, 723.5, 551.1, 585.1
10, 180.66666666666666, 52.73333333333333, 692.0, 565.8666666666667, 711.5333333333333
15, 274.06666666666666, 98.53333333333335, 865.4666666666667, 743.8000000000001, 896.0
20, 386.8666666666666, 119.76666666666667, 1555.3, 1412.1666666666667, 1709.5
25, 533.8333333333334, 163.0666666666667, 1825.9333333333334, 1710.9666666666665, 2029.3333333333333
30, 370.36666666666673, 159.36666666666667, 823.6333333333333, 764.6333333333332, 987.8000000000001
35, 590.6, 177.16666666666666, 1699.8666666666668, 1578.6333333333332, 1972.8333333333333
40, 910.0, 201.0666666666667, 2650.566666666667, 2519.4333333333334, 3028.366666666667
45, 1311.5666666666666, 193.79999999999998, 2895.0, 2836.433333333333, 3439.8333333333335
50, 835.2333333333332, 240.0666666666667, 2177.766666666667, 2208.2999999999997, 2709.433333333333
55, 1298.9333333333334, 275.8666666666667, 2337.2999999999997, 2457.633333333333, 3038.3666666666663
60, 1027.6666666666667, 297.8333333333333, 1315.5333333333333, 1414.1333333333332, 1723.0666666666666
65, 1108.3, 334.90000000000003, 1409.1666666666667, 1546.3333333333333, 1936.5666666666666
70, 1430.2333333333333, 401.9666666666667, 2695.4666666666667, 2810.9, 3426.8333333333335
75, 1543.0666666666666, 470.5333333333333, 3024.566666666667, 3182.866666666667, 3816.7666666666664
80, 1705.2, 564.1666666666666, 3195.2333333333336, 3484.466666666667, 4239.400000000001
85, 1278.2666666666667, 665.1333333333333, 3272.6666666666665, 3501.7999999999997, 4099.433333333333
90, 1328.1666666666667, 730.7333333333332, 3362.6666666666665, 3337.6666666666665, 3763.7000000000003
95, 965.7333333333332, 801.6666666666666, 1758.4333333333332, 1542.3, 1651.0666666666666
100, 1662.3999999999999, 890.1, 3603.8999999999996, 3795.233333333333, 4255.366666666667
