Instances, FordFulkerson, EdmondsKarp, PushRelabel, FIFOPushRelabel
5, 101.4, 43.8, 26.6, 25.2
10, 187.4, 56.1, 962.0, 759.4
15, 309.4, 117.1, 1180.2, 1012.5
20, 432.9, 120.4, 1491.5, 1345.4
25, 476.7, 150.0, 1753.2, 1642.5
30, 265.5, 153.1, 65.4, 43.6
35, 303.3, 168.8, 67.1, 52.7
40, 281.2, 159.4, 86.0, 68.8
45, 520.4, 165.6, 56.3, 45.3
50, 279.7, 210.9, 69.0, 54.9
55, 271.9, 239.2, 79.5, 59.5
60, 635.9, 265.5, 107.9, 76.5
65, 657.6, 301.7, 106.4, 85.8
70, 698.4, 351.6, 89.3, 70.4
75, 748.6, 415.4, 98.6, 77.9
80, 870.3, 493.8, 137.4, 87.4
85, 337.3, 562.4, 128.2, 93.8
90, 370.4, 643.8, 139.1, 115.7
95, 370.2, 681.7, 142.1, 139.1
100, 379.9, 751.5, 190.3, 173.4
