Instances, FordFulkerson, EdmondsKarp, PushRelabel, FIFOPushRelabel, HighestLabelPushRelabel
5, 82.9, 39.0, 24.9, 19.1, 15.8
10, 67.2, 40.7, 23.5, 17.4, 15.3
15, 137.4, 79.8, 32.9, 18.6, 23.6
20, 196.8, 99.9, 34.4, 34.4, 46.9
25, 223.7, 148.7, 42.3, 31.4, 37.5
30, 300.2, 185.9, 56.1, 34.5, 40.7
35, 218.8, 153.3, 42.2, 39.0, 48.5
40, 240.5, 176.6, 43.9, 45.4, 50.0
45, 520.5, 178.1, 54.7, 40.6, 37.4
50, 276.5, 214.1, 54.6, 39.0, 48.6
55, 679.7, 273.6, 62.6, 42.2, 54.8
60, 743.9, 292.5, 61.0, 46.9, 61.1
65, 707.8, 334.3, 74.9, 82.9, 104.5
70, 731.4, 373.4, 87.4, 68.7, 71.9
75, 740.7, 426.7, 95.4, 78.2, 89.1
80, 843.9, 521.6, 98.3, 85.7, 117.3
85, 367.4, 589.2, 100.2, 106.4, 126.7
90, 393.7, 676.8, 101.6, 131.5, 198.3
95, 376.7, 701.8, 93.9, 126.7, 190.7
100, 378.4, 789.8, 98.5, 160.7, 176.7
