Instances, inst1, inst2, inst3, inst4, inst5, inst6, inst7, inst8, inst9, inst10
5, 51.8, 51.6, 46.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10, 48.4, 58.0, 51.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
15, 98.4, 100.1, 97.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
20, 118.8, 125.0, 115.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
25, 159.4, 171.8, 158.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
30, 167.1, 147.0, 164.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
35, 187.7, 186.0, 157.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
40, 229.8, 203.2, 170.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
45, 187.4, 200.1, 193.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
50, 227.7, 254.7, 237.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
55, 256.4, 285.3, 285.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
60, 274.8, 335.9, 282.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
65, 293.7, 386.0, 325.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
70, 343.6, 468.6, 393.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
75, 412.4, 517.8, 481.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
80, 507.9, 611.1, 573.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
85, 626.7, 692.1, 676.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
90, 686.0, 740.6, 765.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
95, 779.8, 819.0, 806.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
100, 850.0, 884.3, 936.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
