Instances, inst1, inst2, inst3, inst4, inst5, inst6, inst7, inst8, inst9, inst10
5, 526.8, 573.5, 553.0, 568.9, 25.2, 548.4, 19.1, 564.0, 23.6, 582.9
10, 16.0, 844.1, 837.5, 864.6, 759.4, 847.0, 17.4, 861.0, 15.6, 873.7
15, 20.3, 1107.9, 1103.2, 1214.9, 1012.5, 1197.2, 18.6, 1034.5, 1504.0, 1188.7
20, 1331.2, 1510.0, 1395.3, 1529.7, 1345.4, 1427.2, 34.4, 32.8, 1992.2, 1433.5
25, 1676.6, 1673.4, 1782.9, 1859.6, 1642.5, 1717.6, 31.4, 25.1, 2374.0, 1817.3
30, 32.8, 34.4, 2226.7, 1993.9, 43.6, 1914.0, 34.5, 37.4, 2726.7, 1980.6
35, 40.4, 2150.1, 2545.4, 2306.3, 52.7, 2072.1, 39.0, 2037.5, 2975.3, 2249.0
40, 2343.7, 2389.3, 2825.3, 2620.6, 68.8, 2322.8, 45.4, 2365.7, 3189.6, 2641.3
45, 2617.5, 2962.8, 2929.0, 3064.4, 45.3, 2539.3, 40.6, 2770.4, 3517.3, 2940.0
50, 42.0, 3345.4, 3237.5, 3584.8, 54.9, 37.5, 39.0, 2792.6, 3745.6, 3334.6
55, 43.9, 3825.3, 3503.7, 4111.2, 59.5, 48.3, 42.2, 47.0, 4175.2, 3801.7
60, 48.4, 4140.9, 53.1, 4434.7, 76.5, 50.0, 46.9, 51.5, 4473.8, 4098.6
65, 64.0, 4509.7, 65.3, 4717.8, 85.8, 61.1, 82.9, 3953.4, 4897.9, 4481.4
70, 50.1, 4763.5, 3619.1, 4777.3, 70.4, 3714.5, 68.7, 4362.7, 5028.8, 5148.9
75, 54.6, 5025.4, 4468.6, 5281.4, 77.9, 4072.1, 78.2, 4830.2, 5269.5, 5441.1
80, 86.1, 5337.6, 5029.7, 5634.7, 87.4, 62.6, 85.7, 4595.6, 5488.3, 5412.7
85, 92.4, 5311.2, 5101.8, 5581.3, 93.8, 73.4, 106.4, 4948.1, 5378.0, 6047.4
90, 114.2, 5103.4, 4795.4, 5658.5, 115.7, 4730.3, 131.5, 5103.0, 5633.2, 6415.4
95, 133.0, 4404.7, 89.2, 6064.9, 139.1, 87.6, 126.7, 139.2, 5785.8, 6464.3
100, 170.4, 5250.9, 5964.4, 6431.8, 173.4, 90.6, 160.7, 168.9, 6562.2, 6139.8
