Instances, inst1, inst2, inst3, inst4, inst5, inst6, inst7, inst8, inst9, inst10
5, 148.4, 126.6, 129.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10, 84.2, 254.7, 203.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
15, 179.9, 328.3, 314.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
20, 370.3, 389.0, 401.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
25, 510.9, 628.2, 462.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
30, 287.6, 229.8, 593.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
35, 248.3, 895.3, 628.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
40, 822.0, 870.5, 1037.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
45, 1283.1, 1412.5, 1239.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
50, 493.9, 990.6, 1021.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
55, 775.0, 1545.3, 1576.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
60, 670.5, 1671.8, 740.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
65, 681.3, 1814.0, 829.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
70, 720.4, 1853.0, 1717.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
75, 804.7, 1879.8, 1944.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
80, 974.7, 2012.7, 2128.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
85, 481.4, 1657.8, 1695.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
90, 446.8, 1778.2, 1759.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
95, 437.5, 1733.1, 726.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
100, 531.3, 2048.6, 2407.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
