Instances, inst1, inst2, inst3, inst4, inst5, inst6, inst7, inst8, inst9, inst10
5, 558.2, 592.5, 604.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10, 17.3, 1097.1, 1020.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
15, 26.5, 1373.8, 1287.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
20, 1585.9, 1920.6, 1622.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
25, 2000.2, 1938.2, 2149.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
30, 36.0, 42.3, 2885.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
35, 45.3, 2521.1, 3352.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
40, 2648.6, 2792.4, 3644.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
45, 2998.8, 3701.7, 3619.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
50, 48.5, 4167.4, 3912.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
55, 53.2, 4910.0, 4151.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
60, 57.8, 5052.0, 59.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
65, 74.9, 5659.8, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
70, 65.7, 6245.9, 3968.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
75, 65.5, 6375.2, 5009.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
80, 134.5, 6614.8, 5968.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
85, 104.7, 6319.5, 5874.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
90, 186.1, 5817.5, 5287.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
95, 232.8, 4612.7, 107.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
100, 193.6, 5828.4, 6744.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
