Instances, inst1, inst2, inst3, inst4, inst5, inst6, inst7, inst8, inst9, inst10
5, 639.0, 825.3, 706.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10, 17.3, 1038.3, 1020.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
15, 31.2, 1302.5, 1262.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
20, 1506.3, 1628.2, 1531.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
25, 1814.2, 1778.9, 1884.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
30, 46.6, 48.4, 2375.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
35, 54.6, 2405.1, 2639.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
40, 2545.4, 2591.4, 2814.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
45, 2762.7, 2967.3, 2955.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
50, 59.6, 3256.4, 3217.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
55, 64.1, 3585.1, 3362.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
60, 68.4, 3806.5, 71.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
65, 84.2, 4058.7, 84.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
70, 67.2, 4300.3, 3718.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
75, 73.6, 4563.0, 4437.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
80, 118.8, 4799.5, 4667.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
85, 134.4, 4891.2, 4792.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
90, 142.2, 5046.1, 4899.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
95, 159.5, 4981.4, 134.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
100, 163.9, 5242.9, 5404.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
