Instances, FordFulkerson, EdmondsKarp, PushRelabel, FIFOPushRelabel, HighestLabelPushRelabel
5, 96.03999999999999, 124.08, 23.48, 13.580000000000002, 15.64
10, 78.72, 134.06, 25.400000000000002, 14.360000000000003, 15.719999999999999
15, 75.82000000000001, 131.3, 21.82, 15.52, 17.5
20, 77.52, 147.22, 20.3, 10.84, 13.76
25, 89.34, 163.36, 25.939999999999998, 16.66, 16.94
30, 93.78, 175.62, 19.66, 17.9, 16.32
35, 81.02000000000001, 195.3, 24.4, 16.92, 19.06
40, 101.32000000000001, 214.68, 22.52, 20.380000000000003, 18.72
45, 116.28, 246.84, 29.04, 19.979999999999997, 17.54
50, 130.62, 267.64, 29.139999999999997, 18.78, 20.08
55, 134.32, 294.4, 27.439999999999998, 21.9, 21.54
60, 121.55999999999999, 312.94, 28.479999999999997, 19.68, 24.1
65, 133.38, 345.72, 28.72, 21.6, 22.4
70, 103.7, 355.02, 28.74, 21.88, 21.24
75, 129.71999999999997, 372.58000000000004, 30.340000000000003, 22.84, 23.439999999999998
80, 145.66, 383.52, 28.360000000000003, 25.840000000000003, 27.74
85, 402.48, 394.44000000000005, 36.92, 38.8, 35.959999999999994
90, 404.62000000000006, 413.73999999999995, 24.72, 20.96, 20.919999999999998
95, 422.21999999999997, 441.7, 26.619999999999997, 21.3, 20.68
100, 122.58, 463.12, 28.560000000000002, 20.98, 24.080000000000002
