Instances, FordFulkerson, EdmondsKarp, PushRelabel, FIFOPushRelabel, HighestLabelPushRelabel
5, 93.7, 129.7, 24.8, 12.4, 15.8
10, 81.2, 137.4, 25.0, 14.1, 15.5
15, 81.1, 137.4, 21.8, 15.5, 17.2
20, 76.6, 151.5, 20.0, 12.2, 12.5
25, 95.1, 164.1, 24.9, 17.2, 15.7
30, 92.3, 178.1, 18.9, 15.6, 15.7
35, 82.8, 196.8, 26.6, 18.9, 16.9
40, 97.2, 214.0, 16.9, 25.3, 15.7
45, 123.4, 248.5, 23.4, 20.3, 18.6
50, 129.8, 268.5, 26.7, 17.2, 17.2
55, 137.5, 298.2, 25.0, 20.4, 23.5
60, 123.5, 309.7, 29.7, 18.6, 26.7
65, 126.5, 350.1, 29.7, 25.0, 23.2
70, 103.1, 350.1, 28.1, 21.9, 24.9
75, 128.1, 371.8, 28.0, 23.5, 25.0
80, 145.4, 396.9, 28.1, 29.8, 29.4
85, 396.7, 389.1, 39.3, 39.1, 34.2
90, 406.1, 412.4, 26.8, 18.8, 18.7
95, 420.5, 437.4, 32.9, 22.0, 23.5
100, 125.2, 463.3, 28.2, 22.0, 25.0
