Instances, inst1, inst2, inst3, inst4, inst5, inst6, inst7, inst8
5, 13.7, 12.3, 12.4, 15.5, 14.0
10, 14.0, 16.0, 14.1, 12.3, 15.4
15, 15.3, 15.6, 15.5, 15.6, 15.6
20, 12.6, 10.7, 12.2, 9.2, 9.5
25, 17.5, 15.8, 17.2, 15.8, 17.0
30, 18.9, 20.4, 15.6, 15.7, 18.9
35, 17.1, 15.6, 18.9, 17.3, 15.7
40, 20.3, 20.3, 25.3, 18.7, 17.3
45, 21.8, 17.5, 20.3, 20.0, 20.3
50, 22.1, 17.3, 17.2, 20.2, 17.1
55, 25.1, 23.3, 20.4, 17.3, 23.4
60, 18.9, 18.6, 18.6, 18.9, 23.4
65, 20.3, 21.8, 25.0, 22.0, 18.9
70, 21.9, 20.5, 21.9, 24.8, 20.3
75, 25.1, 23.4, 23.5, 25.0, 17.2
80, 24.8, 23.3, 29.8, 26.5, 24.8
85, 37.6, 37.5, 39.1, 42.3, 37.5
90, 22.1, 23.4, 18.8, 18.5, 22.0
95, 20.2, 25.0, 22.0, 17.3, 22.0
100, 21.9, 22.0, 22.0, 18.6, 20.4
