Instances, inst1, inst2, inst3, inst4, inst5, inst6, inst7, inst8
5, 22.0, 23.7, 24.8, 21.8, 25.1
10, 26.8, 23.4, 25.0, 25.1, 26.7
15, 20.2, 26.7, 21.8, 17.2, 23.2
20, 15.2, 23.7, 20.0, 21.9, 20.7
25, 26.5, 23.7, 24.9, 26.6, 28.0
30, 18.6, 21.9, 18.9, 20.1, 18.8
35, 23.5, 23.5, 26.6, 25.0, 23.4
40, 23.5, 25.2, 16.9, 25.2, 21.8
45, 31.2, 28.0, 23.4, 31.4, 31.2
50, 28.3, 28.3, 26.7, 32.7, 29.7
55, 27.9, 29.6, 25.0, 29.6, 25.1
60, 29.6, 26.5, 29.7, 29.9, 26.7
65, 28.2, 26.5, 29.7, 32.8, 26.4
70, 31.4, 29.6, 28.1, 28.1, 26.5
75, 26.7, 31.2, 28.0, 31.4, 34.4
80, 29.8, 24.9, 28.1, 29.4, 29.6
85, 37.5, 32.8, 39.3, 37.5, 37.5
90, 25.0, 24.8, 26.8, 23.4, 23.6
95, 23.5, 26.5, 32.9, 25.1, 25.1
100, 26.8, 28.3, 28.2, 29.7, 29.8
