Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 214.1, 201.5, 137.5, 217.3, 132.7
10, 241.3, 254.7, 139.0, 249.9, 148.6
15, 242.2, 282.7, 139.3, 272.0, 157.7
20, 225.4, 320.3, 139.2, 271.8, 173.3
25, 253.2, 379.7, 162.6, 332.7, 189.3
30, 306.5, 417.1, 174.9, 403.1, 214.1
35, 335.8, 467.1, 196.8, 445.8, 234.6
40, 351.8, 518.7, 207.7, 451.7, 254.7
45, 353.0, 556.4, 249.9, 471.7, 269.2
50, 423.8, 648.5, 264.2, 570.5, 296.4
55, 503.0, 640.6, 297.2, 668.8, 317.0
60, 559.5, 664.0, 314.0, 756.3, 326.6
65, 609.4, 682.9, 343.7, 811.5, 357.6
70, 643.2, 664.2, 348.7, 847.0, 337.6
75, 668.8, 664.0, 367.5, 864.4, 358.0
80, 670.5, 658.0, 379.5, 881.1, 398.5
85, 660.8, 636.0, 367.1, 885.8, 667.1
90, 650.2, 635.9, 417.5, 898.3, 681.3
95, 626.5, 668.9, 421.6, 923.4, 726.6
100, 681.8, 681.7, 465.8, 1060.9, 427.4
