Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 208.2, 195.90000000000003, 124.08, 215.66, 129.98000000000002
10, 247.82, 265.52, 134.06, 255.98000000000002, 137.78
15, 243.66000000000003, 289.03999999999996, 131.3, 270.91999999999996, 156.35999999999999
20, 219.92, 330.32000000000005, 147.22, 268.35999999999996, 168.04000000000002
25, 255.6, 389.08000000000004, 163.36, 336.34, 195.09999999999997
30, 305.96, 431.8, 175.62, 399.08000000000004, 212.45999999999998
35, 330.91999999999996, 460.88, 195.3, 441.86, 225.68
40, 350.12, 528.3000000000001, 214.68, 462.38, 250.94
45, 351.93999999999994, 567.4199999999998, 246.84, 481.18, 265.76
50, 424.48, 642.86, 267.64, 576.4, 295.32
55, 496.58000000000004, 663.06, 294.4, 675.5799999999999, 311.23999999999995
60, 560.6, 665.2, 312.94, 751.5600000000001, 334.94
65, 610.96, 684.1200000000001, 345.72, 812.16, 350.86
70, 646.9200000000001, 686.92, 355.02, 843.86, 341.06000000000006
75, 667.24, 667.52, 372.58000000000004, 868.3, 367.8
80, 668.4200000000001, 669.24, 383.52, 875.1, 395.0
85, 662.54, 651.26, 394.44000000000005, 881.1400000000001, 670.02
90, 651.5600000000001, 647.1999999999999, 413.73999999999995, 879.5800000000002, 689.9399999999999
95, 629.6800000000001, 661.36, 441.7, 912.6, 718.3399999999999
100, 687.56, 679.2, 463.12, 1058.06, 427.9
