Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 15.7, 25.0, 12.3, 31.1, 17.4
10, 15.6, 39.2, 16.0, 56.0, 17.1
15, 16.9, 67.1, 15.6, 68.7, 29.6
20, 23.6, 53.1, 10.7, 65.7, 18.7
25, 12.5, 81.4, 15.8, 81.3, 21.9
30, 15.7, 101.6, 20.4, 117.1, 20.4
35, 23.5, 132.9, 15.6, 167.0, 17.2
40, 26.9, 109.5, 20.3, 156.1, 22.0
45, 34.2, 175.0, 17.5, 171.9, 25.2
50, 18.9, 198.4, 17.3, 201.8, 21.8
55, 28.2, 229.6, 23.3, 237.4, 29.7
60, 29.7, 269.0, 18.6, 309.2, 24.7
65, 31.3, 242.1, 21.8, 312.5, 26.4
70, 31.1, 268.9, 20.5, 339.1, 28.1
75, 32.6, 265.8, 23.4, 389.1, 23.2
80, 39.0, 303.2, 23.3, 420.3, 24.8
85, 39.1, 351.8, 37.5, 454.8, 28.3
90, 40.7, 403.0, 23.4, 532.8, 21.8
95, 32.8, 492.2, 25.0, 716.1, 28.2
100, 28.2, 1029.6, 22.0, 1987.5, 21.8
