Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 15.780000000000001, 23.119999999999997, 13.580000000000002, 31.579999999999995, 18.080000000000002
10, 15.680000000000001, 40.62, 14.360000000000003, 54.879999999999995, 17.14
15, 18.939999999999998, 65.6, 15.52, 71.52000000000001, 28.839999999999996
20, 24.160000000000004, 55.9, 10.84, 65.28, 20.3
25, 15.3, 77.24000000000001, 16.66, 77.2, 20.7
30, 16.56, 102.22, 17.9, 111.88, 21.86
35, 22.4, 125.5, 16.92, 166.85999999999999, 20.880000000000003
40, 23.84, 111.47999999999999, 20.380000000000003, 161.45999999999998, 21.9
45, 35.6, 171.6, 19.979999999999997, 172.54, 24.48
50, 19.74, 200.04000000000002, 18.78, 202.26, 22.1
55, 28.840000000000003, 230.0, 21.9, 238.64000000000001, 25.099999999999998
60, 28.46, 260.12, 19.68, 297.5, 24.939999999999998
65, 30.32, 253.16, 21.6, 315.91999999999996, 28.0
70, 33.739999999999995, 263.46, 21.88, 346.34000000000003, 25.840000000000003
75, 33.040000000000006, 267.18, 22.84, 386.04, 23.34
80, 38.1, 294.42, 25.840000000000003, 431.5, 23.26
85, 39.74, 353.12, 38.8, 465.94000000000005, 24.44
90, 43.120000000000005, 394.2, 20.96, 540.02, 24.68
95, 34.42, 486.6, 21.3, 740.2, 25.3
100, 26.54, 1034.0800000000002, 20.98, 2001.92, 22.479999999999997
