Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 192.3, 136.1, 98.6, 151.5, 93.7
10, 212.6, 137.5, 110.8, 175.0, 81.2
15, 217.2, 151.5, 98.5, 160.8, 81.1
20, 215.5, 128.1, 87.4, 167.2, 76.6
25, 198.4, 125.0, 110.9, 181.5, 95.1
30, 257.9, 134.5, 115.7, 195.4, 92.3
35, 298.3, 143.8, 132.8, 209.5, 82.8
40, 315.6, 140.9, 126.7, 211.0, 97.2
45, 301.5, 171.8, 159.6, 262.5, 123.4
50, 353.0, 175.0, 174.9, 248.2, 129.8
55, 493.8, 176.7, 211.0, 250.0, 137.5
60, 540.7, 173.4, 207.8, 293.9, 123.5
65, 756.2, 175.0, 217.3, 276.8, 126.5
70, 968.8, 186.0, 243.8, 293.6, 103.1
75, 1028.0, 174.9, 268.7, 311.1, 128.1
80, 1015.5, 168.6, 284.6, 315.8, 145.4
85, 832.7, 181.3, 289.1, 334.3, 396.7
90, 851.8, 228.0, 278.1, 432.8, 406.1
95, 757.7, 301.7, 303.3, 550.2, 420.5
100, 779.7, 1394.0, 318.7, 4133.0, 125.2
