Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 189.96000000000004, 140.32, 101.38, 152.24, 96.03999999999999
10, 211.53999999999996, 135.94, 112.86000000000001, 163.18, 78.72
15, 215.42, 135.59999999999997, 102.51999999999998, 165.35999999999999, 75.82000000000001
20, 215.0, 129.38000000000002, 90.02000000000001, 171.28, 77.52
25, 220.0, 132.26, 108.05999999999999, 182.62000000000003, 89.34
30, 265.12, 137.56, 116.56000000000002, 194.02, 93.78
35, 279.48, 142.2, 131.6, 205.74, 81.02000000000001
40, 311.28000000000003, 144.1, 135.4, 211.27999999999997, 101.32000000000001
45, 324.03999999999996, 173.36, 161.73999999999998, 259.46, 116.28
50, 371.84000000000003, 176.6, 170.68, 251.23999999999995, 130.62
55, 460.66, 176.92, 198.21999999999997, 268.74, 134.32
60, 556.9399999999999, 174.09999999999997, 198.74, 280.68, 121.55999999999999
65, 735.3199999999999, 171.82, 228.71999999999997, 280.36, 133.38
70, 931.8399999999999, 170.06, 246.85999999999999, 292.21999999999997, 103.7
75, 1180.9199999999998, 174.72, 272.76000000000005, 316.0, 129.71999999999997
80, 1023.1600000000001, 178.8, 268.14, 331.8, 145.66
85, 874.72, 180.52000000000004, 284.4599999999999, 348.17999999999995, 402.48
90, 884.5, 208.72000000000003, 275.73999999999995, 406.56, 404.62000000000006
95, 738.52, 279.18, 313.14, 542.86, 422.21999999999997
100, 862.32, 1398.28, 319.1, 4116.88, 122.58
