Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 17.4, 31.3, 15.6, 45.2, 18.7
10, 16.0, 61.1, 17.2, 87.6, 17.3
15, 25.0, 106.5, 15.6, 123.5, 21.8
20, 25.1, 84.2, 15.6, 128.1, 22.0
25, 17.2, 178.1, 18.9, 201.5, 18.9
30, 18.8, 217.3, 15.6, 260.9, 25.2
35, 26.2, 228.1, 18.9, 289.0, 21.8
40, 26.5, 225.1, 18.6, 379.8, 20.5
45, 42.0, 398.3, 20.3, 420.4, 22.0
50, 24.8, 420.3, 22.1, 510.9, 23.5
55, 29.7, 518.4, 23.4, 596.9, 26.5
60, 31.3, 482.9, 26.6, 656.4, 26.4
65, 32.9, 518.9, 26.7, 770.2, 39.0
70, 33.0, 584.6, 21.9, 942.0, 21.9
75, 37.5, 607.6, 26.4, 1101.4, 24.8
80, 37.5, 717.2, 29.6, 1193.7, 23.3
85, 40.5, 851.5, 35.9, 1403.2, 22.1
90, 40.6, 903.3, 23.5, 1514.2, 20.5
95, 34.4, 981.2, 24.8, 1704.7, 21.6
100, 29.7, 1036.0, 17.2, 2017.4, 20.5
