Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 15.66, 33.44, 15.64, 46.50000000000001, 21.279999999999998
10, 16.62, 59.5, 15.719999999999999, 86.6, 19.979999999999997
15, 20.96, 113.44000000000001, 17.5, 128.16, 23.64
20, 24.68, 89.97999999999999, 13.76, 117.47999999999999, 20.000000000000004
25, 15.680000000000001, 183.76000000000002, 16.94, 197.47999999999996, 20.84
30, 18.099999999999998, 234.37999999999997, 16.32, 256.28000000000003, 21.5
35, 23.02, 246.6, 19.06, 299.9800000000001, 21.299999999999997
40, 25.28, 227.78000000000003, 18.72, 359.34000000000003, 21.880000000000003
45, 42.52, 382.15999999999997, 17.54, 420.3, 23.28
50, 22.24, 427.66, 20.08, 481.18, 21.200000000000003
55, 27.919999999999998, 468.71999999999997, 21.54, 581.9199999999998, 25.34
60, 30.0, 480.96000000000004, 24.1, 644.64, 24.72
65, 33.4, 518.5200000000001, 22.4, 774.14, 45.0
70, 33.06, 577.1200000000001, 21.24, 932.5799999999999, 24.22
75, 39.34, 609.92, 23.439999999999998, 1088.8, 23.840000000000003
80, 37.160000000000004, 711.3, 27.74, 1190.06, 24.6
85, 42.08, 837.22, 35.959999999999994, 1366.06, 21.48
90, 45.339999999999996, 898.1600000000001, 20.919999999999998, 1498.72, 22.16
95, 33.760000000000005, 978.2, 20.68, 1682.52, 23.12
100, 27.18, 1040.76, 24.080000000000002, 1989.86, 21.720000000000002
