Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 26.5, 36.2, 24.9, 42.1, 23.3
10, 23.4, 34.5, 20.3, 48.4, 23.4
15, 21.8, 39.2, 23.4, 47.0, 34.6
20, 28.2, 43.6, 20.4, 53.2, 24.9
25, 18.6, 39.0, 26.6, 42.2, 28.2
30, 21.8, 40.6, 18.9, 48.5, 29.7
35, 23.4, 45.4, 20.3, 51.5, 26.7
40, 29.5, 57.9, 29.8, 60.8, 32.7
45, 37.5, 62.5, 24.9, 70.3, 26.6
50, 32.9, 62.3, 26.5, 59.3, 25.0
55, 31.2, 59.5, 28.2, 62.3, 31.2
60, 32.9, 62.4, 28.2, 62.5, 28.1
65, 37.4, 67.2, 29.6, 70.3, 29.4
70, 33.2, 70.3, 29.7, 78.0, 29.9
75, 36.1, 70.4, 28.1, 86.1, 29.9
80, 40.7, 77.9, 26.4, 92.4, 29.8
85, 34.6, 92.1, 42.3, 96.6, 29.6
90, 43.6, 81.4, 29.6, 103.2, 29.7
95, 45.4, 60.9, 25.0, 68.8, 31.2
100, 32.8, 71.8, 26.6, 78.1, 29.7
