Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 25.68, 34.10000000000001, 23.48, 44.12, 32.78
10, 25.04, 38.16, 25.400000000000002, 46.82, 27.2
15, 24.98, 41.88000000000001, 21.82, 47.32000000000001, 34.839999999999996
20, 27.759999999999998, 45.92, 20.3, 51.82000000000001, 24.32
25, 19.080000000000002, 38.10000000000001, 25.939999999999998, 45.32, 25.26
30, 25.659999999999997, 41.239999999999995, 19.66, 49.4, 29.46
35, 24.520000000000003, 42.56, 24.4, 54.7, 23.96
40, 31.0, 48.14, 22.52, 60.620000000000005, 28.72
45, 41.9, 60.1, 29.04, 72.2, 30.020000000000003
50, 29.360000000000003, 59.42, 29.139999999999997, 59.14000000000001, 28.02
55, 31.880000000000003, 62.260000000000005, 27.439999999999998, 62.660000000000004, 27.840000000000003
60, 34.96, 64.1, 28.479999999999997, 64.36, 29.380000000000003
65, 35.08, 64.4, 28.72, 70.7, 30.3
70, 35.32, 69.04, 28.74, 77.58000000000001, 29.080000000000002
75, 36.660000000000004, 69.24, 30.340000000000003, 87.42, 30.559999999999995
80, 37.98, 77.82000000000001, 28.360000000000003, 94.02000000000001, 27.439999999999998
85, 37.74, 89.05999999999999, 36.92, 95.64, 28.160000000000004
90, 43.5, 77.78, 24.72, 98.72, 30.1
95, 43.14, 63.7, 26.619999999999997, 69.38000000000001, 30.02
100, 35.3, 68.42, 28.560000000000002, 76.53999999999999, 31.0
