Instances; LinkedList; HashMap; SplitArray; TreeMap; SparseMap
5;108,1;117,2;47;128,2;64,4
10;87,4;123,4;48,5;106,1;85,9
15;173,5;289;121,9;218,7;151,8
20;178,1;259,5;147,1;217,2;190,7
25;226,5;279,8;165,7;306,4;184,4
30;243,9;385,3;178,2;412,5;217
35;339,2;429,9;200;517,4;201,6
40;375;550;203,3;581,4;223,5
45;361;732,9;234,4;640,7;532,8
50;453,3;871,9;273,4;867,4;254,7
55;598,6;1033,5;303,2;1111,5;614
60;614,2;1115,9;326,5;1324,2;665,8
65;679,7;1400,3;345,4;1601,7;737,4
70;782,9;1631,2;437,4;2075,6;873,6
75;909,5;1914,1;498,9;2770,6;934,4
80;1165,7;2637,9;626,6;3245,5;1040,6
85;1376,9;3057,4;701,6;3708,6;662,4
90;1472;3440,9;779,8;4271,9;761,1
95;1645,4;3856,7;865,8;5028,3;883
100;1772;4211,2;937,3;5588;1006,3
