Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 117.2, 115.6, 46.9, 134.5, 61.1
10, 86.1, 139.1, 51.8, 114.2, 81.2
15, 149.8, 203.0, 97.1, 203.2, 104.4
20, 196.8, 309.4, 115.5, 231.3, 165.5
25, 245.2, 386.1, 158.0, 384.3, 174.8
30, 264.1, 396.8, 164.0, 357.7, 181.3
35, 311.0, 433.0, 157.8, 493.8, 165.5
40, 339.2, 497.0, 170.2, 515.6, 187.3
45, 325.0, 689.2, 193.9, 571.2, 482.7
50, 384.4, 795.3, 237.8, 773.2, 220.4
55, 503.2, 941.0, 285.9, 985.9, 593.8
60, 561.0, 1111.2, 282.8, 1226.4, 632.7
65, 626.6, 1300.0, 325.0, 1529.6, 701.7
70, 723.4, 1623.6, 393.7, 2028.1, 815.5
75, 900.1, 1932.9, 481.4, 2680.1, 921.9
80, 1151.5, 2550.2, 573.5, 3233.8, 1000.0
85, 1350.2, 3096.9, 676.6, 3817.3, 603.3
90, 1508.0, 3415.8, 765.6, 4325.4, 742.1
95, 1618.9, 3792.6, 806.2, 4939.2, 806.2
100, 1832.9, 4256.4, 936.0, 5613.1, 1017.1
