Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 1165.9, 2300.0, 553.0, 2590.9, 856.3
10, 1886.0, 3469.0, 837.5, 4340.8, 1207.9
15, 2362.5, 4425.8, 1103.2, 5883.0, 1448.6
20, 3106.4, 6003.4, 1395.3, 7717.3, 1867.3
25, 4383.1, 7373.8, 1782.9, 10466.0, 2206.4
30, 6240.8, 9225.1, 2226.7, 13947.6, 2629.8
35, 6666.4, 10811.4, 2545.4, 16366.5, 2937.5
40, 6894.8, 12191.3, 2825.3, 18032.0, 3178.2
45, 6096.9, 12094.4, 2929.0, 17135.5, 3410.4
50, 6633.6, 13118.0, 3237.5, 18910.3, 3368.8
55, 6916.3, 13617.3, 3503.7, 20173.1, 3786.1
60, 79.8, 159.4, 53.1, 175.2, 43.8
65, 93.5, 154.8, 65.3, 187.4, 45.3
70, 5854.1, 13038.1, 3619.1, 18577.8, 4011.3
75, 8472.4, 18496.5, 4468.6, 25953.4, 4537.9
80, 10003.8, 19411.9, 5029.7, 30445.6, 4839.5
85, 9723.8, 19008.8, 5101.8, 30483.0, 4541.2
90, 8338.3, 18074.3, 4795.4, 26854.7, 4580.0
95, 129.7, 307.7, 89.2, 223.5, 57.7
100, 11764.4, 23132.7, 5964.4, 36995.6, 6108.7
