Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 165.7, 151.4, 102.9, 161.2, 122.0
10, 228.2, 204.8, 132.9, 267.0, 196.9
15, 418.8, 375.0, 212.5, 401.6, 276.6
20, 692.2, 500.2, 357.8, 637.7, 423.2
25, 942.2, 615.8, 470.1, 945.4, 445.5
30, 1606.3, 781.2, 721.7, 1062.7, 668.7
35, 2106.7, 1061.0, 942.5, 1382.9, 918.8
40, 2667.4, 1585.8, 1039.1, 1790.5, 1128.1
45, 3212.7, 1512.8, 1314.4, 1922.2, 1334.5
50, 3494.5, 1820.4, 1505.0, 2414.3, 1137.6
55, 4711.3, 1821.9, 1967.3, 2660.1, 1543.8
60, 5561.2, 1587.5, 2133.0, 3034.7, 1567.1
65, 7639.6, 1790.8, 2690.6, 3747.4, 1728.4
70, 8075.5, 1926.5, 3348.7, 4523.5, 1972.2
75, 9106.9, 1912.6, 3606.4, 5259.7, 1851.6
80, 11803.7, 2364.2, 3987.9, 5401.8, 1969.1
85, 15165.1, 2895.5, 5026.6, 5961.3, 1745.5
90, 18125.8, 3048.7, 6276.6, 6712.9, 2108.2
95, 19315.0, 3178.2, 5934.9, 7463.0, 1961.5
100, 19510.0, 3225.2, 6619.0, 7897.1, 2084.6
