Instances; LinkedList; HashMap; SplitArray; TreeMap; SparseMap
5;178,1;193,6;107,7;183;125,3
10;101,9;140,5;54,9;171,9;76,7
15;453;372;246,8;540,7;295
20;676;473,6;363,9;564;387,5
25;937,3;651,7;493,7;899,8;473,5
30;1460,9;728,2;612,5;1109,4;642,2
35;2147,1;904,8;904,8;1301,7;692,3
40;2728,4;970,5;1053,2;1515,6;936,7
45;3215,7;1469;1267,4;1845,5;1337,5
50;3359,4;1790,6;1572;2342,2;1154,7
55;4414,4;1823,5;1973,2;2657,8;1457,9
60;5869;1820,3;2651,7;2905,3;1840,8
65;7127;1594;2736,1;3481,2;1773,6
70;8244,4;1773,4;3447;4144;1847
75;9251,9;1684,3;4037,6;4514,4;2087,6
80;11311,5;2217,2;4726,8;5270,6;2212,5
85;14419,5;2398,5;5780;5629,9;2020,4
90;16160,3;2497,2;5945,6;5847;2178
95;17757,3;2742,2;5336,3;6569,8;1901,8
100;20177,7;3077,2;7205;7134,9;2348,7
