Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 822.0, 1756.8, 558.2, 1567.1, 817.6
10, 31.0, 34.6, 17.3, 43.8, 22.1
15, 27.9, 43.8, 26.5, 47.0, 26.5
20, 3603.6, 5639.1, 1585.9, 7256.3, 2053.6
25, 4597.2, 7162.8, 2000.2, 9306.9, 2372.1
30, 50.1, 82.9, 36.0, 70.4, 37.6
35, 62.5, 76.4, 45.3, 73.4, 35.7
40, 5497.3, 9745.7, 2648.6, 12297.6, 3019.0
45, 5517.5, 10487.3, 2998.8, 13328.9, 3392.7
50, 57.7, 120.4, 48.5, 128.3, 43.9
55, 76.7, 132.7, 53.2, 142.1, 43.6
60, 98.3, 183.0, 57.8, 179.7, 45.5
65, 104.5, 162.5, 74.9, 176.6, 50.0
70, 95.5, 129.7, 65.7, 167.1, 65.9
75, 95.3, 169.0, 65.5, 199.9, 67.0
80, 181.2, 239.0, 134.5, 259.5, 592.1
85, 198.6, 187.5, 104.7, 278.2, 90.6
90, 232.6, 428.3, 186.1, 273.4, 106.4
95, 292.1, 387.5, 232.8, 300.1, 120.2
100, 328.2, 332.9, 193.6, 275.1, 118.9
