Instances, LinkedList, HashMap, SplitArray, TreeMap, SparseMap
5, 785.8, 1730.1, 639.0, 1528.3, 842.5
10, 37.5, 37.5, 17.3, 42.2, 25.1
15, 35.8, 39.0, 31.2, 43.8, 34.4
20, 2365.8, 4573.5, 1506.3, 4570.6, 2006.3
25, 3260.9, 5453.6, 1814.2, 5525.3, 2245.4
30, 51.5, 64.1, 46.6, 56.3, 43.8
35, 74.8, 73.4, 54.6, 81.2, 50.1
40, 4328.3, 7942.5, 2545.4, 8278.4, 3062.5
45, 4064.5, 8394.1, 2762.7, 9147.3, 3411.6
50, 70.2, 84.3, 59.6, 92.2, 57.8
55, 78.2, 96.9, 64.1, 101.8, 57.9
60, 100.1, 96.7, 68.4, 121.9, 59.5
65, 101.8, 129.7, 84.2, 140.7, 56.3
70, 101.5, 104.7, 67.2, 109.3, 64.1
75, 98.4, 104.7, 73.6, 125.2, 71.8
80, 147.0, 149.7, 118.8, 162.3, 600.2
85, 154.6, 159.5, 134.4, 182.7, 92.1
90, 192.1, 182.7, 142.2, 192.0, 93.8
95, 226.5, 189.0, 159.5, 220.4, 90.8
100, 256.2, 268.9, 163.9, 248.4, 93.9
