Instances, PushRelabel, PushRelabelInit, FIFOPushRelabel, FIFOPushRelabelInit, HighestLabelPushRelabel, HighestLabelPushRelabelInit
5, 1844, 1797, 1688, 1717, 1992, 1939
10, 2836, 2770, 2557, 2585, 3257, 3283
15, 3338, 3348, 3134, 3365, 3831, 3829
20, 3951, 4105, 3700, 3917, 4478, 4511
25, 5035, 4802, 4751, 4525, 5310, 5581
30, 5786, 5742, 5500, 5550, 7148, 7179
35, 6067, 6429, 6225, 6203, 7619, 7500
40, 7305, 7223, 7094, 6923, 8591, 8865
45, 7511, 7797, 7167, 7421, 8487, 8064
50, 8257, 8260, 7834, 7490, 9058, 9072
55, 7963, 8232, 7619, 7408, 8718, 8852
60, 89, 105, 80, 102, 81, 92
65, 119, 119, 80, 106, 88, 109
70, 9961, 10207, 9615, 9572, 9428, 9541
75, 10671, 11088, 10617, 10448, 11345, 11911
80, 10754, 11049, 10507, 10349, 11617, 11674
85, 12481, 12673, 12071, 11724, 12845, 12866
90, 12590, 12928, 12328, 11826, 12409, 12318
95, 222, 179, 117, 148, 162, 145
100, 14107, 14247, 13576, 13267, 14580, 14609
