Instances, PushRelabel, PushRelabelInit, FIFOPushRelabel, FIFOPushRelabelInit, HighestLabelPushRelabel, HighestLabelPushRelabelInit
5, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5
10, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5
15, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5
20, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5
25, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5
30, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5
35, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5
40, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5
45, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5
50, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5
55, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5
60, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5
65, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5
70, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5
75, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5
80, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5
85, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5
90, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5
95, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5
100, 5.5, 5.5, 5.5, 5.5, 5.5, 5.5
