Instances, PushRelabel, PushRelabelInit, FIFOPushRelabel, FIFOPushRelabelInit, HighestLabelPushRelabel, HighestLabelPushRelabelInit
5, 38, 62, 26, 40, 37, 43
10, 43, 57, 30, 37, 27, 49
15, 39, 53, 26, 41, 28, 50
20, 72, 102, 52, 85, 69, 75
25, 39, 75, 26, 51, 24, 51
30, 41, 74, 27, 54, 34, 61
35, 42, 76, 37, 71, 37, 72
40, 41, 134, 36, 125, 39, 125
45, 40, 77, 38, 74, 34, 67
50, 35, 95, 39, 64, 45, 65
55, 47, 86, 32, 66, 34, 63
60, 40, 526, 29, 501, 33, 505
65, 513, 579, 505, 552, 522, 533
70, 60, 89, 31, 81, 38, 79
75, 54, 96, 36, 84, 35, 77
80, 43, 102, 39, 87, 34, 81
85, 39, 103, 40, 89, 36, 91
90, 54, 116, 41, 97, 38, 106
95, 48, 115, 40, 108, 43, 109
100, 46, 119, 45, 107, 45, 101
