Instances, PushRelabel, PushRelabelInit, FIFOPushRelabel, FIFOPushRelabelInit, HighestLabelPushRelabel, HighestLabelPushRelabelInit
5, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0
10, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0
15, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0
20, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0
25, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0
30, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0
35, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0
40, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0
45, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0
50, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0
55, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0
60, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0
65, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0
70, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0
75, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0
80, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0
85, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0
90, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0
95, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0
100, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0
