Instance, PushRelabel, EdmondsKarp
1000, 200, 166.3333333
2000, 609.6666667, 291.6666667
3000, 1294, 517
4000, 2219, 833.3333333
5000, 3467, 1241.666667
6000, 4921.666667, 1713.333333
7000, 7078, 2203
8000, 8896.666667, 2682.666667
9000, 11556.33333, 3750
10000, 13303.33333, 6495.333333
11000, 16254.33333, 7667
12000, 19054.66667, 9068
13000, 22531.66667, 9027
14000, 25197, 10401.66667
15000, 30853.33333, 13407
16000, 33080.66667, 14412.33333
17000, 37334.66667, 15235.33333
18000, 43665.66667, 16922.66667
19000, 46867, 17985.33333
20000, 52870.66667, 20511.66667
21000, 59641.66667, 21845.33333
22000, 64320.33333, 24662.66667
23000, 70851.66667, 26366.33333
24000, 78032.66667, 28580
25000, 83457.33333, 29849.66667
26000, 92631, 31616.66667
27000, 97818.66667, 34679
28000, 108232, 36830
29000, 116129.3333, 39351
30000, 126196.3333, 42549
31000, 135279.6667, 44393
32000, 142583.6667, 47627.33333
33000, 147135.3333, 49539
34000, 155865, 53898.66667
35000, 163716, 55800
