Instances, PushRelabel, PushRelabelInit, HighestLabelPushRelabel, HighestLabelPushRelabelInit, FIFOPushRelabel, FIFOPushRelabelInit
5, 24.36, 36.44, 14.88, 23.5, 16.62, 20.6
10, 26.3, 40.92, 15.92, 29.94, 16.6, 27.16
15, 23.12, 41.26, 16.62, 32.82, 17.88, 30.7
20, 23.88, 37.14, 12.76, 26.86, 13.48, 24.08
25, 24.72, 43.08, 15.62, 37.18, 16.56, 32.48
30, 24.02, 47.42, 17.64, 35.92, 17.84, 34.34
35, 25.02, 46.18, 19.06, 36.88, 17.48, 35.6
40, 26.52, 53.7, 18.7, 46.82, 20.42, 44.02
45, 29.7, 52.52, 19.04, 41.82, 20.62, 41.28
50, 29.62, 58.46, 18.16, 47.48, 20.26, 43.12
55, 28.4, 60.26, 23.84, 51.2, 23.1, 45.02
60, 29.7, 56.86, 22.52, 46.92, 24.9, 45.34
65, 28.78, 59.42, 22.78, 50.36, 23.82, 46.36
70, 30.28, 57.18, 21.6, 49.02, 23.24, 46.94
75, 30.36, 59.82, 23.04, 52.26, 24.7, 47.52
80, 29.32, 71.76, 25.26, 61.98, 25.92, 60.84
85, 40.36, 73.08, 38.5, 63.64, 38.08, 61.84
90, 29.7, 58.82, 21.62, 48.08, 20.02, 46.52
95, 30.96, 58.42, 21.92, 50.34, 20.28, 47.76
100, 29.08, 58.48, 20.6, 53.4, 23.38, 51.8
